matchType,destinationScore,dateOverlapScore,budgetScore,interestScore,personalityScore,ageScore,destination_interest,date_budget,groupSizeScore,groupDiversityScore,compatibility,probability,label
user_group,0.3,0.2146167141586954,0.807,0.923,0.5,0.593,0.2769,0.17319568832606722,1.0,0.85,0.5942,0.6296,0
user_group,1.0,0.19686465291233135,0.6,0.557,0.5,0.757,0.557,0.11811879174739881,1.0,0.75,0.7866,0.9448,1
user_group,0.0,0.7441406107599488,0.427,0.277,0.5,0.473,0.0,0.3177480407944981,0.8,0.75,0.1125,0.0052,0
user_user,0.7,0.7673632464266626,0.575,0.95,0.263,0.657,0.6649999999999999,0.441233866695331,0.0,0.0,0.7928,0.9485,1
user_group,1.0,0.23040115776314735,0.658,0.33,0.5,0.792,0.33,0.15160396180815097,0.8,0.75,0.7481,0.9151,1
user_user,0.7,0.9623248020206262,0.968,0.181,0.466,0.98,0.12669999999999998,0.9315304083559661,0.0,0.0,0.826,0.9648,1
user_user,1.0,0.0,0.391,0.481,0.312,0.384,0.481,0.0,0.0,0.0,0.1397,0.0072,0
user_group,1.0,0.10900485656115809,0.731,0.485,0.5,0.392,0.485,0.07968255014620657,1.0,0.6,0.7396,0.9068,0
user_group,0.3,0.8236904957645048,0.3,0.517,0.5,0.816,0.1551,0.24710714872935144,0.8,0.5,0.599,0.6429,1
user_group,1.0,0.0,0.449,0.536,0.5,0.438,0.536,0.0,1.0,1.0,0.1743,0.0109,0
user_group,1.0,0.13668191767350518,0.813,0.791,0.5,0.745,0.791,0.11112239906855971,1.0,0.5,0.8413,0.9706,1
user_user,1.0,0.10764089785027937,0.848,0.539,0.248,0.317,0.539,0.09127948137703691,0.0,0.0,0.6657,0.8003,1
user_user,0.7,0.0,0.729,0.491,0.212,0.429,0.34369999999999995,0.0,0.0,0.0,0.1215,0.0058,0
user_user,1.0,0.3163755934936093,0.832,0.583,0.551,0.798,0.583,0.2632244937866829,0.0,0.0,0.7872,0.9451,1
user_user,1.0,0.10996675550106585,0.593,0.606,0.618,0.557,0.606,0.06521028601213205,0.0,0.0,0.6823,0.8303,1
user_user,0.7,0.23971641513737144,0.603,0.454,0.47,0.324,0.31779999999999997,0.14454899832783497,0.0,0.0,0.547,0.491,1
user_user,0.3,0.47945824787152197,0.779,0.892,0.57,0.329,0.2676,0.3734979750919156,0.0,0.0,0.5674,0.552,0
user_group,1.0,0.0,0.909,0.795,0.5,0.323,0.795,0.0,0.6,0.85,0.1975,0.0143,0
user_user,0.0,0.1914759525262812,0.792,0.468,0.629,0.734,0.0,0.15164895440081472,0.0,0.0,0.0805,0.0036,0
user_user,0.3,0.6355542754806265,0.661,0.971,0.666,0.657,0.2913,0.4201013760926941,0.0,0.0,0.6284,0.7193,1
user_user,1.0,0.5915660638877887,0.557,0.44,0.286,0.798,0.44,0.3295022975854983,0.0,0.0,0.7674,0.9314,1
user_user,0.3,0.6489310507968971,0.799,0.85,0.533,0.842,0.255,0.5184959095867208,0.0,0.0,0.6408,0.7483,1
user_user,1.0,0.946731429482937,0.715,0.331,0.12,0.193,0.331,0.6769129720802999,0.0,0.0,0.8402,0.9702,1
user_group,0.7,0.8082729945640457,0.769,0.62,0.5,0.392,0.434,0.6215619328197511,0.6,0.85,0.862,0.9769,1
user_user,1.0,0.0,0.75,0.354,0.475,0.317,0.354,0.0,0.0,0.0,0.1486,0.008,0
