matchType,destinationScore,dateOverlapScore,budgetScore,interestScore,personalityScore,ageScore,destination_interest,date_budget,groupSizeScore,groupDiversityScore,compatibility,probability,label
user_group,0.7,0.9793613801195812,0.567,0.707,0.5,0.89,0.4948999999999999,0.5552979025278025,0.6,0.7,0.9031,0.9858,1
user_user,1.0,0.2640183479989687,0.47,0.099,0.77,0.383,0.099,0.1240886235595152,0.0,0.0,0.599,0.6429,0
user_user,0.0,0.4478716315797933,0.65,0.407,0.85,0.718,0.0,0.2911165605268657,0.0,0.0,0.0964,0.0043,0
user_user,1.0,0.6409978415894344,0.24,0.726,0.645,0.495,0.726,0.1538394819814642,0.0,0.0,0.7946,0.9496,1
user_group,0.3,0.6812305833977936,0.805,0.911,0.5,0.445,0.2733,0.548390619635224,0.6,0.7,0.7038,0.8636,1
user_group,0.3,0.7128759010416139,0.253,0.546,0.5,0.857,0.1638,0.1803576029635283,0.8,0.6,0.5703,0.5606,0
user_group,0.3,0.7624705333516668,0.376,0.689,0.5,0.329,0.2066999999999999,0.2866889205402267,0.8,0.5,0.5998,0.6451,1
user_group,1.0,0.2690948164319465,0.633,0.53,0.5,0.678,0.53,0.1703370188014221,0.8,0.85,0.7989,0.952,1
user_group,1.0,0.6332049401487927,0.535,0.536,0.5,0.689,0.536,0.3387646429796041,0.6,0.75,0.8755,0.9803,1
user_user,1.0,0.8797024356879635,0.385,0.174,0.81,0.536,0.174,0.3386854377398659,0.0,0.0,0.7847,0.9436,1
user_user,0.0,0.0,0.264,0.334,0.334,0.875,0.0,0.0,0.0,0.0,0.0375,0.0021,0
user_user,0.3,0.2668674005551371,0.381,0.499,0.287,0.936,0.1497,0.1016764796115072,0.0,0.0,0.3816,0.117,0
user_user,1.0,0.0,0.672,0.706,0.511,0.567,0.706,0.0,0.0,0.0,0.1688,0.0102,0
user_user,0.3,0.1739559673675687,0.807,0.511,0.461,0.616,0.1533,0.140382465665628,0.0,0.0,0.4251,0.1826,0
user_user,1.0,0.1078941386508537,0.584,0.398,0.751,0.609,0.398,0.0630101769720985,0.0,0.0,0.6477,0.7636,1
user_user,0.0,0.343610054539217,0.604,0.704,0.522,0.674,0.0,0.207540472941687,0.0,0.0,0.0883,0.0039,0
user_user,1.0,0.0,0.304,0.573,0.115,0.732,0.573,0.0,0.0,0.0,0.1419,0.0074,0
user_user,1.0,0.0,0.677,0.648,0.147,0.379,0.648,0.0,0.0,0.0,0.1562,0.0088,0
user_user,0.0,0.0,0.492,0.373,0.365,0.779,0.0,0.0,0.0,0.0,0.0467,0.0024,0
user_group,1.0,0.0,0.443,0.372,0.5,0.573,0.372,0.0,0.6,0.7,0.158,0.009,0
user_user,0.0,0.6017035887551985,0.536,0.145,0.194,0.792,0.0,0.3225131235727864,0.0,0.0,0.0823,0.0036,0
user_user,0.0,0.0,0.81,0.521,0.71,0.653,0.0,0.0,0.0,0.0,0.0684,0.0031,0
user_user,0.0,0.0,0.783,0.295,0.857,0.734,0.0,0.0,0.0,0.0,0.0645,0.0029,0
user_group,0.7,0.0,0.485,0.376,0.5,0.642,0.2632,0.0,0.6,1.0,0.1353,0.0069,0
user_group,0.7,0.8750475343310773,0.598,0.853,0.5,0.709,0.5971,0.5232784255299842,1.0,1.0,0.9328,0.99,1
user_user,1.0,0.1696002290710284,0.695,0.722,0.462,0.924,0.722,0.1178721592043647,0.0,0.0,0.7481,0.9151,1
user_group,1.0,0.9255583413419451,0.763,0.287,0.5,0.361,0.287,0.7062010144439042,1.0,0.6,0.9535,0.9922,1
user_user,1.0,0.7849361947645119,0.639,0.884,0.843,0.791,0.884,0.5015742284545232,0.0,0.0,0.9837,0.9945,1
user_user,0.3,0.5692529905553618,0.582,0.736,0.271,0.722,0.2208,0.3313052405032206,0.0,0.0,0.5293,0.4382,1
user_user,0.0,0.3046560643315134,0.442,0.878,0.708,0.645,0.0,0.1346579804345289,0.0,0.0,0.0869,0.0038,0
user_user,1.0,0.8785232161304469,0.627,0.152,0.569,0.379,0.152,0.5508340565137902,0.0,0.0,0.8057,0.9556,1
user_group,1.0,0.2528764944853277,0.714,0.208,0.5,0.965,0.208,0.1805538170625239,0.4,0.75,0.7263,0.8924,1
user_user,1.0,0.0,0.654,0.905,0.351,0.713,0.905,0.0,0.0,0.0,0.1777,0.0113,0
user_user,1.0,0.7456493327231225,0.286,0.504,0.6,0.652,0.504,0.213255709158813,0.0,0.0,0.7879,0.9456,0
user_group,0.7,0.3247622232082487,0.738,0.191,0.5,0.301,0.1336999999999999,0.2396745207276875,0.4,0.85,0.6099,0.6723,1
user_group,1.0,0.4388028781232707,0.731,0.225,0.5,0.853,0.225,0.3207649039081108,0.8,0.75,0.8047,0.9551,1
user_user,1.0,0.3277264267660971,0.654,0.336,0.687,0.778,0.336,0.2143330831050275,0.0,0.0,0.715,0.8787,1
user_user,1.0,0.0,0.315,0.218,0.677,0.174,0.218,0.0,0.0,0.0,0.127,0.0062,0
user_user,0.0,0.7521748248730059,0.725,0.474,0.47,0.734,0.0,0.5453267480329292,0.0,0.0,0.1179,0.0056,0
user_group,0.3,0.6087183630065915,0.349,0.414,0.5,0.345,0.1241999999999999,0.2124427086893004,1.0,0.75,0.5334,0.4504,0
user_group,0.3,0.4545858190759009,0.848,0.481,0.5,0.284,0.1442999999999999,0.3854887745763639,1.0,0.75,0.5905,0.6192,0
user_group,1.0,0.2129413748604476,0.815,0.405,0.5,0.34,0.405,0.1735472205112648,0.6,0.7,0.7505,0.9173,1
user_user,0.0,0.0,0.759,0.532,0.164,0.773,0.0,0.0,0.0,0.0,0.0574,0.0027,0
user_group,1.0,0.3901583844458858,0.826,0.952,0.5,0.359,0.952,0.3222708255523016,1.0,0.7,0.9496,0.9918,1
user_user,1.0,0.950928846550236,0.711,0.67,0.5,0.741,0.67,0.6761104098972177,0.0,0.0,0.9729,0.9938,1
user_group,0.0,0.3621845364103488,0.711,0.575,0.5,0.469,0.0,0.257513205387758,1.0,1.0,0.1126,0.0052,0
user_group,1.0,0.8456112617748498,0.79,0.299,0.5,0.228,0.299,0.6680328968021314,1.0,0.6,0.9305,0.9897,1
user_group,1.0,0.1543626198510647,0.598,0.166,0.5,0.314,0.166,0.0923088466709367,1.0,0.6,0.6579,0.785,1
user_user,1.0,0.3025067148113101,0.934,0.149,0.43,0.91,0.149,0.2825412716337637,0.0,0.0,0.701,0.8596,0
user_user,0.3,0.0,0.543,0.89,0.335,0.403,0.267,0.0,0.0,0.0,0.0917,0.0041,0
user_user,0.0,0.1498457158853215,0.75,0.259,0.811,0.632,0.0,0.1123842869139911,0.0,0.0,0.0716,0.0032,0
user_user,1.0,0.5651618957302862,0.47,0.274,0.241,0.732,0.274,0.2656260909932345,0.0,0.0,0.6992,0.857,0
user_user,0.3,0.770121435940283,0.511,0.081,0.276,0.727,0.0243,0.3935320537654846,0.0,0.0,0.4762,0.292,0
user_user,0.3,0.0,0.222,0.257,0.364,0.723,0.0771,0.0,0.0,0.0,0.0605,0.0028,0
user_user,0.0,0.2839902191354894,0.153,0.638,0.194,0.623,0.0,0.0434505035277298,0.0,0.0,0.0552,0.0026,0
user_user,1.0,0.1011116083635408,0.491,0.526,0.348,0.835,0.526,0.0496457997064985,0.0,0.0,0.6382,0.7424,1
user_group,0.7,0.0,0.661,0.316,0.5,0.853,0.2211999999999999,0.0,0.6,0.6,0.1367,0.007,0
user_group,1.0,0.6127908625969003,0.818,0.367,0.5,0.159,0.367,0.5012629256042644,1.0,0.85,0.8872,0.9828,1
user_group,1.0,0.0,0.321,0.317,0.5,0.235,0.317,0.0,0.6,0.85,0.148,0.008,0
user_group,1.0,0.0,0.739,0.532,0.5,0.562,0.532,0.0,1.0,0.85,0.1846,0.0123,0
user_user,0.7,0.0,0.782,0.579,0.248,0.757,0.4052999999999999,0.0,0.0,0.0,0.1325,0.0066,0
user_user,0.3,0.7479807760727667,0.61,0.24,0.546,0.368,0.072,0.4562682734043877,0.0,0.0,0.5181,0.4055,0
user_user,0.3,0.1288928045257442,0.358,0.057,0.799,0.689,0.0171,0.0461436240202164,0.0,0.0,0.3015,0.0482,0
user_user,1.0,0.2805566316077967,0.677,0.296,0.514,0.811,0.296,0.1899368395984784,0.0,0.0,0.6837,0.8326,0
user_user,0.7,0.0,0.633,0.501,0.453,0.556,0.3506999999999999,0.0,0.0,0.0,0.1248,0.006,0
user_group,0.0,0.0,0.875,0.633,0.5,0.921,0.0,0.0,1.0,1.0,0.0983,0.0044,0
user_user,1.0,0.3656632977734856,0.504,0.523,0.377,0.344,0.523,0.1842943020778367,0.0,0.0,0.6942,0.8495,1
user_user,1.0,0.2120115272454667,0.152,0.667,0.378,0.619,0.667,0.0322257521413109,0.0,0.0,0.6363,0.738,1
user_user,1.0,0.5802153207878585,0.34,0.234,0.12,0.53,0.234,0.1972732090678719,0.0,0.0,0.6494,0.7672,0
user_user,0.3,0.0,0.685,0.319,0.137,0.447,0.0957,0.0,0.0,0.0,0.0722,0.0032,0
user_user,0.0,0.2254812907903887,0.803,0.273,0.39,0.553,0.0,0.1810614765046821,0.0,0.0,0.0707,0.0032,0
user_group,0.3,0.7377223868298982,0.931,0.523,0.5,0.319,0.1569,0.6868195421386353,1.0,0.75,0.7059,0.8666,1
user_group,1.0,0.0,0.67,0.625,0.5,0.941,0.625,0.0,0.8,0.6,0.1863,0.0126,0
user_group,0.0,0.0,0.846,0.375,0.5,0.633,0.0,0.0,0.8,0.5,0.0771,0.0034,0
user_user,0.0,0.0,0.658,0.379,0.403,0.853,0.0,0.0,0.0,0.0,0.0548,0.0026,0
user_user,1.0,0.0,0.781,0.85,0.791,0.488,0.85,0.0,0.0,0.0,0.1855,0.0124,0
user_group,1.0,0.3569541766240188,0.889,0.838,0.5,0.75,0.838,0.3173322630187528,0.6,0.6,0.9198,0.9883,1
user_user,1.0,0.2397518740781761,0.46,0.679,0.465,0.646,0.679,0.110285862075961,0.0,0.0,0.7066,0.8675,1
user_group,0.3,0.5859068388019624,0.453,0.21,0.5,0.832,0.063,0.265415797977289,1.0,0.85,0.5463,0.4889,1
user_group,1.0,0.0,0.525,0.621,0.5,0.869,0.621,0.0,0.6,0.6,0.1772,0.0113,0
user_group,0.0,0.0,0.507,0.851,0.5,0.66,0.0,0.0,1.0,0.5,0.0815,0.0036,0
user_user,0.3,0.768565752843068,0.979,0.295,0.042,0.591,0.0885,0.7524258720333636,0.0,0.0,0.5813,0.5928,0
user_user,1.0,0.2221698010756172,0.412,0.618,0.266,0.537,0.618,0.0915339580431543,0.0,0.0,0.6588,0.7868,0
